Parameter S1 S1_conf ST ST_conf
P1 -1367674515901.348633 91859639.334397 0.000829 0.000000
P2 13676745159013.486328 426048724.122575 0.018464 0.000000
P3 13676745159013.484375 609760596.705519 0.035507 0.000000
P4 -1367674515901.348633 34412047.920120 0.000118 0.000000
P5 0.000000 419980149.655385 0.017517 0.000000
P6 -0.000237 70153151.271352 0.000473 0.000000
P7 -15044419674914.826172 952992711.214873 0.086046 0.000000
P8 -13676745159013.488281 690250381.738024 0.046869 0.000000
P9 28721164833928.324219 565714359.915365 0.031128 0.000000
P10 -17779768706717.535156 707662759.958226 0.049592 0.000000
P11 1367674515901.348877 500338004.131877 0.023553 0.000000
P12 1367674515901.346924 686741034.549459 0.044621 0.000000
P13 -16412094190816.185547 327056161.307518 0.010652 0.000000
P14 -43765584508843.164062 571080247.028833 0.032430 0.000000
P15 -0.001894 530967082.451674 0.027459 0.000000
P16 -6838372579506.742188 650296704.200190 0.039886 0.000000
P17 -12309070643112.140625 712621371.786496 0.048408 0.000000
P18 10941396127210.791016 181600378.237347 0.003551 0.000000
P19 -9573721611309.441406 531774618.379831 0.026394 0.000000
P20 0.000473 98246512.450331 0.000947 0.000000

Parameter_1 Parameter_2 S2 S2_conf
P1 P2 -3780535427355.486328 264825297.080894
P1 P3 -11243003741142.554688 323037035.948107
P1 P4 2735349031802.697266 161493239.205795
P1 P5 4565875221810.091797 247756089.923677
P1 P6 1367674515901.348877 163533321.471032
P1 P7 112358115368078.484375 459110401.739070
P1 P8 -3078717658568.046875 355212911.988104
P1 P9 7826717446969.207031 304556640.194779
P1 P10 -11768496934498.976562 359831346.479812
P1 P11 -6396401411817.487305 255426309.855751
P1 P12 -8528535215756.648438 351797747.354427
P1 P13 -6739770038582.833984 216873864.338589
P1 P14 -27359290309187.023438 315981372.995476
P1 P15 -12491195209703.205078 279235518.500412
P1 P16 -5652822630196.464844 353714995.582847
P1 P17 -1248191468560.648438 358108809.244080
P1 P18 1086947408386.369141 183516028.951003
P1 P19 -15710276422028.746094 282971872.851861
P1 P20 4565875221810.091797 164290249.590588
P2 P3 -26287423416057.390625 725745711.074156
P2 P4 -24035806564777.531250 683613343.591212
P2 P5 -22205280374770.136719 698211400.481626
P2 P6 -25403481080678.878906 684044735.318434
P2 P7 84520892869528.687500 747921192.414782
P2 P8 -23453471843330.785156 744777452.251807
P2 P9 -23208705757489.351562 700621988.434366
P2 P10 -30011117315322.550781 730543611.558602
